Site_Name,site_code,Lat,Long,Campaign,location,Q source,DO,DO source,watershed,status,data_owner
Poudre at Archery Range,archery,40.5479138,-105.0011275,Mainstem,Mainstem,?,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned,ROSS
Beaver Creek,BEAV,40.579336,-105.5940998,South Fork,Stream,RMRS,no,,CLP Tributary,Burned,ROSS
Bennett Creek,BENN,40.65821647,-105.5409381,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Black Hollow Creek,BLAK,40.695486,-105.648333,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Barnes Meadow Outflow,BMD,40.600376,-105.836378,Chambers Complex,Outflow,Greeley/DWR,no,,Barnes Meadow Reservoir,Burned,ROSS
Boxelder 1,BOX1,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned,ROSS
Boxelder 2,BOX2,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned,ROSS
Boxelder 3,BOX3,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned,ROSS
Boxelder 4,BOX4,,,Mainstem,Stream,?,no,,CLP  Mainstem-Fort Collins,Unburned,ROSS
Barnes Meadow Reservoir,BRNR,40.599908,-105.830604,Chambers Complex,Reservoir,Greeley/DWR,no,,Barnes Meadow Reservoir,Burned,ROSS
Poudre above Stove Prairie,CACT,40.68267877,-105.3901979,Tributary,Stream,RMRS,no,,CLP Mainstem-Canyon,Partially Burned,RMRS
Joe Wright Outflow/Chambers Inflow,CBRI,40.57795281,-105.8572773,Chambers Complex,Inflow,USGS,yes,RMRS,Chambers Reservoir,Burned,ROSS
Chambers Reservoir,CBRR,40.603457,-105.845931,Chambers Complex,Reservoir,DWR,no,,Chambers Reservoir,Burned,ROSS
Chambers Outflow,CHD,40.60233229,-105.8427286,Chambers Complex,Outflow,DWR,YES,RMRS,Chambers Reservoir,Burned,ROSS
Comanche Inflow,COMI,40.5858963,-105.6626,South Fork,Inflow,Greeley/DWR,no,,Comanche Reservoir,Burned,ROSS
Comanche Outflow,COMO,40.5846048,-105.6440011,South Fork,Outflow,Greeley/DWR,no,,Comanche Reservoir,Burned,ROSS
Comanche Reservoir,COMR,40.5853086,-105.6455009,South Fork,Reservoir,Greeley/DWR,no,,Comanche Reservoir,Burned,ROSS
Deadman Creek,DEAD,40.81469082,-105.8019705,Tributary,Stream,RMRS,no,,CLP Tributary,Unburned,RMRS
ELC,ELC,40.5519476,-105.0105977,Mainstem,Mainstem,USGS,yes,ROSS,CLP  Mainstem-Fort Collins,Partially Burned,ROSS
Fall Creek,FALL,40.6001925,-105.8673455,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Fish Creek,FISH,40.603996,-105.546507,Tributary,Stream,RMRS,no,,CLP Tributary,Burned,RMRS
Hourglass Inflow,HORI,40.5805091,-105.6409321,South Fork,Inflow,Greeley/DWR,no,,Hourglass Reservoir,Burned,ROSS
