FCW_Number,Time,Field_DO_mgL,Field_Cond_µS/cm,Field_Temp_C
1297,11:30,NA,NA,NA
1298,11:55,NA,NA,NA
1299,12:20,NA,NA,NA
1300,12:35,NA,NA,NA
1301,12:35,NA,NA,NA
1302,13:10,NA,NA,NA
1303,14:00,NA,NA,NA
1304,14:40,NA,NA,NA
1305,15:10,NA,NA,NA
1306,11:21,NA,NA,NA
1307,11:45,NA,NA,NA
1308,12:45,NA,NA,NA
1309,13:05,NA,NA,NA
1310,13:30,NA,NA,NA
1311,14:20,NA,NA,NA
1312,10:35,NA,NA,NA
1313,11:25,NA,NA,NA
1314,11:10,NA,NA,NA
1316,12:10,NA,NA,NA
1318,10:15,NA,NA,NA
1319,10:45,NA,NA,NA
1320,11:20,NA,NA,NA
1321,12:15,NA,NA,NA
1322,12:45,NA,NA,NA
1323,13:15,NA,NA,NA
1324,13:30,NA,NA,NA
1325,13:45,NA,NA,NA
1326,14:10,NA,NA,NA
1327,14:40,NA,NA,NA
1328,15:00,NA,NA,NA
1329,11:45,NA,NA,NA
1330,12:00,NA,NA,NA
1331,12:15,NA,NA,NA
1332,12:40,NA,NA,NA
1333,13:10,NA,NA,NA
1334,14:00,NA,NA,NA
1335,14:10,NA,NA,NA
1336,14:30,NA,NA,NA
1337,14:45,NA,NA,NA
1338,15:10,NA,NA,NA
1339,15:35,NA,NA,NA
1340,10:10,NA,NA,NA
1341,10:40,NA,NA,NA
1342,11:00,NA,NA,NA
1343,11:40,NA,NA,NA
1344,11:45,NA,NA,NA
1345,12:00,NA,NA,NA
1346,13:00,NA,NA,NA
1347,13:30,NA,NA,NA
1361,9:15,NA,NA,NA
1362,9:25,NA,NA,NA
1363,9:35,NA,NA,NA
1364,9:55,NA,NA,NA
1365,10:40,NA,NA,NA
1366,11:35,NA,NA,NA
1367,11:50,NA,NA,NA
1368,12:10,NA,NA,NA
1369,12:30,NA,NA,NA
1370,13:00,NA,NA,NA
1371,13:30,NA,NA,NA
1385,8:38,NA,NA,NA
1386,10:00,NA,NA,NA
1387,10:30,NA,NA,NA
1388,11:45,NA,NA,NA
1389,12:35,NA,NA,NA
1390,13:35,NA,NA,NA
1391,14:05,NA,NA,NA
1392,14:30,NA,NA,NA
1393,12:00,NA,NA,NA
1394,9:50,NA,NA,NA
1395,10:30,NA,NA,NA
1396,11:00,NA,NA,NA
1397,11:40,NA,NA,NA
1398,12:51,NA,NA,NA
1399,13:45,NA,NA,NA
1400,14:17,NA,NA,NA
1401,8:35,NA,NA,NA
1402,9:45,NA,NA,NA
1403,10:30,NA,NA,NA
1404,11:50,NA,NA,NA
1405,12:46,NA,NA,NA
1406,14:48,NA,NA,NA
1407,15:30,NA,NA,NA
1408,14:00,NA,NA,NA
1422,10:00,NA,NA,NA
1423,10:30,NA,NA,NA
1424,11:00,NA,NA,NA
1425,11:50,NA,NA,NA
1426,12:30,NA,NA,NA
1427,12:30,NA,NA,NA
1428,13:10,NA,NA,NA
1429,13:10,NA,NA,NA
1430,13:53,NA,NA,NA
1443,9:20,NA,NA,NA
1444,10:20,NA,NA,NA
1446,11:15,NA,NA,NA
1447,11:40,NA,NA,NA
1448,12:02,NA,NA,NA
1449,12:30,NA,NA,NA
1451,9:35,NA,NA,NA
1452,10:15,NA,NA,NA
1453,11:00,NA,NA,NA
1454,12:00,NA,NA,NA
1455,13:00,NA,NA,NA
1456,13:55,NA,NA,NA
1457,15:00,NA,NA,NA
1458,15:40,NA,NA,NA
1459,16:10,NA,NA,NA
1463,10:30,NA,NA,NA
1464,10:45,NA,NA,NA
1465,11:11,NA,NA,NA
1466,11:30,NA,NA,NA
1467,12:00,NA,NA,NA
1468,12:00,NA,NA,NA
1469,12:50,NA,NA,NA
1470,13:25,NA,NA,NA
1474,10:25,NA,NA,NA
1477,9:30,NA,NA,NA
1478,14:22,NA,NA,NA
1479,11:00,NA,NA,NA
1480,10:45,NA,NA,NA
1481,10:45,NA,NA,NA
1482,11:45,NA,NA,NA
1483,12:00,NA,NA,NA
1484,12:20,NA,NA,NA
1485,13:25,NA,NA,NA
1486,13:25,NA,NA,NA
1487,13:50,NA,NA,NA
1488,14:30,NA,NA,NA
1489,14:45,NA,NA,NA
1495,10:25,NA,NA,NA
1496,11:00,NA,NA,NA
1497,12:08,NA,NA,NA
1498,12:08,NA,NA,NA
1499,13:07,NA,NA,NA
1500,14:00,NA,NA,NA
1501,10:30,NA,NA,NA
1503,13:00,NA,NA,NA
1504,14:32,NA,NA,NA
1511,10:10,NA,NA,NA
1526,9:10,NA,NA,NA
1527,9:26,NA,NA,NA
1528,10:11,NA,NA,NA
1529,10:30,NA,NA,NA
1530,11:20,NA,NA,NA
1531,11:45,NA,NA,NA
1532,12:15:00 PM,NA,NA,NA
1533,12:30:00 PM,NA,NA,NA
1534,12:50,NA,NA,NA
1535,13:15,NA,NA,NA
1536,13:31,NA,NA,NA
1537,9:30,NA,NA,NA
1539,9:25,NA,NA,NA
1540,10:00,NA,NA,NA
1541,10:30,NA,NA,NA
1542,12:00,NA,NA,NA
1543,12:23,NA,NA,NA
1544,13:22,NA,NA,NA
1545,13:41,NA,NA,NA
1546,14:40,NA,NA,NA
1547,15:45,NA,NA,NA
1548,15:45,NA,NA,NA
1549,16:20,NA,NA,NA
1571,9:30,NA,NA,NA
1572,10:00,NA,NA,NA
1573,10:25,NA,NA,NA
1574,11:20,NA,NA,NA
1575,11:50,NA,NA,NA
1577,13:15,NA,NA,NA
1578,14:10:00 PM,NA,NA,NA
1579,14:20:00 PM,NA,NA,NA
1580,15:05,NA,NA,NA
1581,15:30,NA,NA,NA
1583,8:02,NA,NA,NA
1584,8:18,NA,NA,NA
1585,9:15,NA,NA,NA
1586,9:15,NA,NA,NA
1587,10:00,NA,NA,NA
1588,10:25,NA,NA,NA
1589,11:23,NA,NA,NA
1590,12:55,NA,NA,NA
1591,12:55,NA,NA,NA
1592,14:06,NA,NA,NA
1593,14:40,NA,NA,NA
1594,9:30,NA,NA,NA
1595,10:41,NA,NA,NA
1596,11:10,NA,NA,NA
1597,12:05,NA,NA,NA
1598,12:35,NA,NA,NA
1599,9:56,NA,NA,NA
1600,9:04,NA,NA,NA
1601,9:10,NA,NA,NA
1602,9:35,NA,NA,NA
1603,9:58,NA,NA,NA
1604,10:46,NA,NA,NA
1605,11:19,NA,NA,NA
1606,12:12,NA,NA,NA
1607,12:32,NA,NA,NA
1608,13:12,NA,NA,NA
1609,13:55,NA,NA,NA
1610,14:32,NA,NA,NA
1611,14:59,NA,NA,NA
1620,10:50,NA,NA,NA
1622,11:20:00 AM,NA,NA,NA
1623,11:50,NA,NA,NA
1624,12:06,NA,NA,NA
1625,13:00:00 PM,NA,NA,NA
1626,13:00:00 PM,NA,NA,NA
1627,13:47,NA,NA,NA
1628,13:47,NA,NA,NA
1629,10:10,NA,NA,NA
1630,11:00,NA,NA,NA
1631,12:10,NA,NA,NA
1632,13:45,NA,NA,NA
1633,14:36,NA,NA,NA
1634,15:19,NA,NA,NA
1635,17:05,NA,NA,NA
1636,18:06,NA,NA,NA
1637,18:06,NA,NA,NA
1638,18:06,NA,NA,NA
1639,9:35,NA,NA,NA
1640,9:35,NA,NA,NA
1641,10:35,NA,NA,NA
1643,11:45,NA,NA,NA
1644,11:45,NA,NA,NA
1645,12:10,NA,NA,NA
1646,12:30,NA,NA,NA
1647,12:19,NA,NA,NA
1648,13:10,NA,NA,NA
1649,13:50,NA,NA,NA
1650,14:10,NA,NA,NA
1651,9:26,NA,NA,NA
1652,9:26,NA,NA,NA
